"Interviewer","Andrew"
"From the very beginning? So what would you say are the prerequisites for somebody to take the deep learning specialization in terms of maybe math or programming background?","Yeah need to understand basic programming since there are pro exercises in Python. And the math prereq is quite basic. So no calculus is needed. If you know calculus is great you get better intuitions but deliberately tried to teach that specialization without requiring calculus. So I think high school math would be sufficient. If you know how to multiply 2 matrices I think that's great."
"So a little basic linear algebra is great.","Basically in the algebra even very very basic linear algebra in some programming. I think that people that have done the machine learning course will find the deep learning specialization a bit easier. But it's also possible to jump into the deep learning specialization directly but it will be a little bit harder since we tend to go over faster concepts like how does gradient descent work and what is the objective function which is covered more slowly in the machine learning course."
"Could you briefly mention some of the key concepts in deep learning that students should learn that you envision them learning in the first few months in the first year or so?","So if you take the deep learning specialization you learn the foundations of what is a neural network how do you build up a neural network from a single logistic unit to a stack of layers to different activation functions. You learn how to train the neural networks. 1 thing I'm very proud of in that specialization is we go through a lot of practical know-how of how to actually make these things work. So what are the differences between different optimization algorithms? What do you do if the algorithm overfits? So how do you tell if the algorithm is overfitting? When do you collect more data? When should you not bother to collect more data? I find that even today unfortunately there are engineers that will spend 6 months trying to pursue a particular direction such as collect more data because we heard more data is valuable. But sometimes you could run some tests and could have figured out 6 months earlier that for this particular problem collecting more data isn't going to cut it. So just don't spend 6 months collecting more data spend your time modifying the architecture or trying something else. So go through a lot of the practical know-how so that when someone when you take the deep learning specialization you have those skills to be very efficient in how you build these networks."
"So dive right in to play with the network to train it to do the inference on a particular data set to build an intuition about it without building it up too big to where you spend like you said 6 months learning building up your big project without building any intuition of a small a small aspect of the data that could already tell you everything you need to know about that data.","Yes and also the systematic frameworks of thinking for how to go about building practical machine learning. Maybe to make an analogy when we learn to code we have to learn the syntax of some programming language right be it Python or C++ or Octave or whatever. But the equally important or maybe even more important part of coding is to understand how to string together these lines of code into coherent things. So you know when should you put something in the function column? When should you not? How do you think about abstraction? So those frameworks are what makes a programmer efficient even more than understanding the syntax. I remember when I was an undergrad at Carnegie Mellon 1 of my friends would debug their code by first trying to compile it and then it was C++ code. And then every line that has syntax error they want to get rid of the syntax errors as quickly as possible. So how do you do that? Well they would delete every single line of code with a syntax error. So really efficient for getting rid of syntax errors for horrible debugging errors. So I think so we learn how to debug. And I think in machine learning the way you debug a machine learning program is very different than the way you you know like do binary search or whatever or use a debugger trace through the code in traditional software engineering. So it's an evolving discipline but I find that the people that are really good at debugging machine learning algorithms are easily 10X maybe 100X faster at getting something to work. So- And"
"So the bug in this case why isn't this thing learning learning improving sort of going into the questions of overfitting and all those kinds of things. That's the logical space that the debugging is happening in with neural networks.","Yeah Often the question is why doesn't it work yet? Or can I expect it to eventually work? And what are the things I could try? Change the architecture more data more regularization different optimization algorithm different types of data. So to answer those questions systematically so you don't spend 6 months heading down the blind alley before someone comes and says why did you spend 6 months doing this?"
"Well I don't think anyone's ever turned the interview on me.","I'm glad to be first."
"Do you find reinforcement learning to be a useful part of the teaching process or no?","I still teach reinforcement learning in one of my Stanford classes. And my PhD thesis was on reinforcement learning. So I clearly love the field. I find that if I'm trying to teach students the most useful techniques for them to use today. I end up shrinking the amount of time I talk about reinforcement learning. It's not what's working today. Now our world changes so fast. Maybe it does be totally different in a couple of years. But I think we need a couple more things for reinforcement learning to get there."
"To actually get there yeah.","One of my teams is looking to reinforcement learning for some robotic control tasks. So I see the applications but if you look at it as a percentage of all of the impact of the types of things we do is at least today outside of playing video games in a few of the games the scope. Actually at NeurIPS a bunch of us were standing around saying hey what's your best example of an actual deploy reinforcement learning application and among senior machine learning researchers. And again there are some emerging ones but there are not that many great examples."
"So it's a trade-off how much impact you want to have versus how much fun you want to have.","Yeah that's really cool. I feel like the world actually needs all sorts. Even within machine learning I feel like deep learning is so exciting, but AI shouldn't just use deep learning. I find that my teams use a portfolio of tools. And maybe that's not the exciting thing to say, but some days we use a neural net. Some days we use a PCA. Actually the other day I was sitting down with my team looking at PCA residuals trying to figure out what's going on with PCA applied to a manufacturing problem. And some days we use a probabilistic graphical model. Some days we use a knowledge draft which is one of the things that has tremendous industry impact but the amount of chatter about knowledge drops in academia is really thin compared to the actual real impact. So I think reinforcement learning should be in that portfolio. And then it's about balancing how much we teach all of these things. And the world should have diverse skills. It'd be sad if everyone just learned one narrow thing."
"What concepts in deep learning do you think students struggle the most with? Or is the biggest challenge for them once they get over that hill. It hooks them and it inspires them and they really get it.","Similar to learning mathematics I think one of the challenges of deep learning is that there are a lot of concepts that build on top of each other. If you ask me what's hard about mathematics I have a hard time pinpointing one thing. Is it addition subtraction? Is it a carry? Is it multiplication? There's just a lot of stuff. I think one of the challenges of learning math and of learning certain technical fields is that there are a lot of concepts, and if you miss a concept then you're kind of missing the prerequisite for something that comes later. So in the deep learning specialization try to break down the concepts to maximize the odds of each component being understandable. So when you move on to the more advanced thing we learn conf nets. Hopefully you have enough intuitions from the earlier sections to then understand why we structure conf nets in a certain way and then eventually why we build RNNs and LSTMs or attention model in a certain way building on top of the earlier concepts. Actually I'm curious you do a lot of teaching as well. Do you have a favorite this is the heart concept moment in your teaching?"
"Yeah the diverse skill help you discover the right tool for the job. What is the most beautiful surprising or inspiring idea in deep learning to you? Something that captivated your imagination. Is it the scale that could be the performance that could be achieved with scale or is there other ideas?","I think that if my only job was being an academic researcher if an unlimited budget and you know didn't have to worry about short-term impact and only focus on long-term impact. I probably spend all my time doing research on unsupervised learning. I still think unsupervised learning is a beautiful idea. At both this past NeurIPS and ICML I was attending workshops or listening to various talks about self-supervised learning which is 1 vertical segment maybe of sort of unsupervised learning that I'm excited about. Maybe just to summarize the idea I guess you know the idea of describe briefly."
"So long-term you think that's going to unlock a lot of power in machine learning systems? Is this kind of unsupervised learning?","I don't think there's a whole enchilada. I think it's just a piece of it. And I think this 1 piece self-supervised learning is starting to get traction. We're very close to it being useful. Well word embeddings are really useful. I think we're getting closer and closer to just having a significant real-world impact maybe in computer vision and video. But I think this concept and I think there'll be other concepts around it. Other unsupervised learning things that I worked on I've been excited about. I was really excited about sparse coding and ICA slow feature analysis. I think"
"So we would return to the fundamentals of representation learning that really started this movement of deep learning?","I think there's a lot more work that 1 could explore around this theme of ideas and other ideas to come up with better algorithms."
"So if we could return to maybe talk quickly about the specifics of deeplearning.ai the deep learning specialization perhaps. How long does it take to complete the course would you say?","The official length of the deep learning specialization is I think 16 weeks so about 4 months. But it's go at your own pace. So if you subscribe to the Deep Learning Specialization there are people that finish it in less than a month by working more intensely and studying more intensely. So it really depends on the individual. When we created the Deep Learning Specialization we wanted to make it very accessible and very affordable. And with Coursera and Deep Learning.AI's education mission 1 of the things that's really important to me is that if there's someone for whom paying"
"If you were to recommend a daily schedule for people in learning whether it's through the deep learning data as specialization or just learning in the world of deep learning what would you recommend? How would they go about day-to-day sort of specific advice about learning about their journey in the world of deep learning machine learning?","I think getting the habit of learning is key and that means regularity. So for example we send out our weekly newsletter The Batch every Wednesday. So people know it's coming Wednesday you can spend a little bit of time on Wednesday catching up on the latest news through The Batch on Wednesday. And for myself I've picked up a habit of spending some time every Saturday and every Sunday reading or studying. And so I don't wake up on a Saturday and have to make a decision. Do I feel like reading or studying today or not? It's just what I do. And the fact is a habit makes it easier. So I think if someone can get into that habit it's like you know just like we brush our teeth every morning. I don't think about it. If I thought about it it's a little bit annoying to have to spend 2 minutes doing that. But it's a habit that it takes no cognitive load but this would be so much harder if we have to make a decision every morning. So and then actually that's the reason why I wear the same thing every day as well. It's just 1 less decision. I just get up and wear my blue shirt. So but I think if you can get that habit that consistency of studying then it actually feels easier."
"So yeah it's kind of amazing. In my own life like I play guitar every day for I force myself to at least for 5 minutes play guitar. It's a ridiculously short period of time but because I've gotten into that habit it's incredible what you can accomplish in a period of a year or 2 years. You can become you know exceptionally good at certain aspects of a thing by just doing it every day for a very short period of time. It's kind of a miracle that that's how it works. It adds up over time.","Yeah and I think it's often not about the bursts of sustained efforts and the all-nighters because you could only do that a limited number of times. It's the sustained effort over a long time. I think you know reading 2 research papers is a nice thing to do but the power is not reading 2 research papers it's reading 2 research papers a week for a year. Then you've read a hundred papers and you actually learn a lot when you read a hundred papers."
"So regularity and making learning a habit. Do you have general other study tips for particularly deep learning that people should in their process of learning is there some kind of recommendations or tips you have as they learn?","1 thing I still do when I'm trying to study something really deeply is take handwritten notes. It varies. I know there are a lot of people that take the deep learning courses during a commute or something where it may be more awkward to take notes. So I know it may not work for everyone. But when I'm taking courses on Coursera and I still take some every now and then the most recent 1 I took was a course on clinical trials because I was interested about that. I got out my little Moleskine notebook and I was sitting at my desk just taking down notes of what the instructor was saying. And that act we know that that act of taking notes preferably handwritten notes increases retention."
"So as you're sort of watching the video just kind of pausing maybe and then taking the basic insights down on paper.","Yeah so there've been a few studies. If you search online you find some of these studies that taking handwritten notes because handwriting is slower as we're saying just now it causes you to recode the knowledge in your own words more and that process of recoding promotes long-term retention. This is as opposed to typing which is fine. Again typing is better than nothing and taking a class and not taking notes is better than not taking any class at all. But comparing handwritten notes and typing you can usually type faster. For a lot of people you can handwrite notes. And so when people type they're more likely to just transcribe verbatim what they heard and that reduces the amount of recoding and that actually results in less long-term retention."
"I don't know what the psychological effect there is but it's so true. There's something fundamentally different about writing hand-writing. I wonder what that is. I wonder if it is as simple as just the time it takes to write is slower.","Yeah and because you can't write as many words you have to take whatever they said and summarize it into fewer words. And that summarization process requires deeper processing of the meaning which then results in better attention."
"That's fascinating.","And I've spent I think because of Coursera I've spent so much time studying pedagogy. It's actually 1 of my passions. I really love learning how to more efficiently help others learn. 1 of the things I do both when creating videos or when we write the batch is I try to think is 1 minute spent with us going to be a more efficient learning experience than 1 minute spent anywhere else? And we really try to make it time efficient for the learners because everyone's busy. So when we're editing I often tell my teams every word needs to fight for its life. And if you can delete a word let's just delete it and not waste the learner's time."
"Wow that's so amazing that you think that way because there is millions of people that are impacted by your teaching and sort of that 1 minute spent has a ripple effect right? Through years of time which is fascinating to think about. How does 1 make a career out of an interest in deep learning? Do you have advice for people? We just talked about sort of the beginning early steps but if you want to make it an entire life's journey or at least a journey of a decade or 2 how do you do it?","So most important thing is to get started. Right. And I think in the early parts of a career coursework like the deep learning specialization is a very efficient way to master this material. So because instructors be it me or someone else or Lawrence Moroney teaches our TensorFlow specialization and all the things we're working on spend effort to try to make it time efficient for you to learn a new concept. So coursework is actually a very efficient way for people to learn concepts in the beginning parts of breaking into new fields. In fact 1 thing I see at Stanford some of my PhD students want to jump into research right away. And I actually tend to say look in your first couple of years as a PhD student spend time taking courses because it lays a foundation. It's fine if you're less productive in your first couple of years you'll be better off in the long term. Beyond a certain point there's materials that doesn't exist in courses because it's too cutting edge the course hasn't been created yet there's some practical experience that we're not yet that good at teaching in a course. And I think after exhausting the efficient coursework then most people need to go on to either ideally work on projects and then maybe also continue their learning by reading blog posts and research papers and things like that. Doing projects is really important. And again I think it's important to start small and just do something. Today you read about deep learning it feels like oh all these people are doing such exciting things. What if I'm not building a neural network that changes the world then what's the point? Well the point is sometimes building that tiny neural network be it MNIST or upgrade to a fashion MNIST to whatever doing your own fun hobby project. That's how you gain the skills to let you do bigger and bigger projects. I find this to be true at the individual level and also at the organizational level. For a company to become good at machine learning sometimes the right thing to do is not to tackle the giant project is instead to do the small project that lets the organization learn and then build up from there. But this is true both for individuals and for companies."
